,slp40,slp65,sam
1966-10-01,1014.98,980.08,34.89999999999998
1966-11-01,1011.72,987.95,23.769999999999982
1966-12-01,1011.85,991.3,20.550000000000068
1967-01-01,1009.92,995.33,14.589999999999918
1967-02-01,1013.25,993.88,19.370000000000005
1967-03-01,1017.7,986.85,30.850000000000023
1967-04-01,1016.23,989.17,27.06000000000006
1967-05-01,1014.0,990.78,23.220000000000027
1967-06-01,1017.47,990.17,27.300000000000068
1967-07-01,1016.95,988.18,28.770000000000095
1967-08-01,1016.72,986.18,30.540000000000077
1967-09-01,1016.2,982.72,33.48000000000002
1967-10-01,1015.48,983.33,32.14999999999998
1967-11-01,1011.38,988.4,22.980000000000018
1967-12-01,1011.3,989.13,22.16999999999996
1968-01-01,1012.82,989.9,22.920000000000073
1968-02-01,1014.65,990.58,24.069999999999936
1968-03-01,1017.2,991.6,25.600000000000023
1968-04-01,1012.25,989.07,23.17999999999995
1968-05-01,1011.2,992.22,18.980000000000018
1968-06-01,1013.47,989.78,23.690000000000055
1968-07-01,1015.7,983.25,32.450000000000045
1968-08-01,1015.47,985.95,29.519999999999982
1968-09-01,1012.75,982.82,29.92999999999995
1968-10-01,1011.78,986.38,25.399999999999977
1968-11-01,1009.88,988.93,20.950000000000045
1968-12-01,1011.83,990.47,21.360000000000014
1969-01-01,1009.22,996.35,12.870000000000005
1969-02-01,1013.33,991.47,21.860000000000014
1969-03-01,1015.62,988.28,27.340000000000032
1969-04-01,1014.08,991.88,22.200000000000045
1969-05-01,1016.62,989.17,27.450000000000045
1969-06-01,1014.98,996.68,18.300000000000068
1969-07-01,1016.4,983.98,32.41999999999996
1969-08-01,1017.62,984.12,33.5
1969-09-01,1014.8,982.72,32.07999999999993
1969-10-01,1015.92,987.52,28.399999999999977
1969-11-01,1015.55,985.57,29.979999999999905
1969-12-01,1011.27,988.73,22.539999999999964
1970-01-01,1013.53,988.53,25.0
1970-02-01,1016.38,986.22,30.159999999999968
1970-03-01,1013.43,987.25,26.17999999999995
1970-04-01,1013.78,988.63,25.149999999999977
1970-05-01,1013.87,987.47,26.399999999999977
1970-06-01,1015.25,991.37,23.879999999999995
1970-07-01,1011.88,987.35,24.529999999999973
1970-08-01,1016.58,983.22,33.360000000000014
1970-09-01,1013.82,991.27,22.550000000000068
1970-10-01,1013.22,986.82,26.399999999999977
1970-11-01,1014.4,986.52,27.879999999999995
1970-12-01,1012.57,993.13,19.440000000000055
1971-01-01,1014.17,993.13,21.039999999999964
1971-02-01,1016.45,988.95,27.5
1971-03-01,1017.35,983.3,34.05000000000007
1971-04-01,1014.83,989.82,25.00999999999999
1971-05-01,1012.58,996.95,15.629999999999995
1971-06-01,1014.05,985.9,28.149999999999977
1971-07-01,1016.53,989.75,26.779999999999973
1971-08-01,1014.52,987.62,26.899999999999977
1971-09-01,1012.2,987.67,24.530000000000086
1971-10-01,1012.3,984.73,27.569999999999936
1971-11-01,1012.78,985.93,26.850000000000023
1971-12-01,1010.48,992.82,17.659999999999968
1972-01-01,1011.42,991.75,19.66999999999996
1972-02-01,1015.8,989.08,26.719999999999914
1972-03-01,1015.75,991.78,23.970000000000027
1972-04-01,1012.87,991.13,21.74000000000001
1972-05-01,1014.43,990.48,23.949999999999932
1972-06-01,1015.63,993.52,22.110000000000014
1972-07-01,1013.03,990.33,22.699999999999932
1972-08-01,1015.15,994.0,21.149999999999977
1972-09-01,1013.52,986.35,27.16999999999996
1972-10-01,1012.95,983.93,29.020000000000095
1972-11-01,1014.28,983.0,31.279999999999973
1972-12-01,1009.53,989.77,19.75999999999999
1973-01-01,1013.17,993.23,19.93999999999994
1973-02-01,1017.08,987.1,29.980000000000018
1973-03-01,1016.47,980.95,35.51999999999998
1973-04-01,1015.12,985.18,29.940000000000055
1973-05-01,1012.05,993.08,18.969999999999914
1973-06-01,1014.23,991.8,22.430000000000064
1973-07-01,1019.02,986.8,32.22000000000003
1973-08-01,1016.42,981.33,35.08999999999992
1973-09-01,1011.88,984.42,27.460000000000036
1973-10-01,1013.95,985.7,28.25
1973-11-01,1012.48,985.37,27.110000000000014
1973-12-01,1015.23,984.47,30.75999999999999
1974-01-01,1014.82,989.45,25.370000000000005
1974-02-01,1016.22,984.65,31.57000000000005
1974-03-01,1018.7,983.98,34.72000000000003
1974-04-01,1017.07,990.47,26.600000000000023
1974-05-01,1015.58,991.02,24.56000000000006
1974-06-01,1014.85,992.72,22.129999999999995
1974-07-01,1012.6,989.17,23.430000000000064
1974-08-01,1012.53,995.7,16.829999999999927
1974-09-01,1015.18,978.45,36.729999999999905
1974-10-01,1013.42,984.58,28.839999999999918
1974-11-01,1012.47,991.22,21.25
1974-12-01,1009.4,994.42,14.980000000000018
1975-01-01,1011.53,992.68,18.850000000000023
1975-02-01,1014.6,989.08,25.519999999999982
1975-03-01,1015.08,987.88,27.200000000000045
1975-04-01,1015.32,984.95,30.370000000000005
1975-05-01,1010.67,996.05,14.620000000000005
1975-06-01,1014.08,992.25,21.83000000000004
1975-07-01,1012.7,995.23,17.470000000000027
1975-08-01,1014.3,984.45,29.84999999999991
1975-09-01,1016.78,983.65,33.129999999999995
1975-10-01,1014.9,982.1,32.799999999999955
1975-11-01,1012.8,983.88,28.91999999999996
1975-12-01,1013.63,990.1,23.529999999999973
1976-01-01,1012.55,992.87,19.67999999999995
1976-02-01,1016.97,987.8,29.170000000000073
1976-03-01,1016.52,987.73,28.789999999999964
1976-04-01,1016.65,984.55,32.10000000000002
1976-05-01,1015.12,983.58,31.539999999999964
1976-06-01,1013.82,990.25,23.57000000000005
1976-07-01,1014.27,984.52,29.75
1976-08-01,1014.78,983.83,30.949999999999932
1976-09-01,1016.87,982.08,34.789999999999964
1976-10-01,1015.9,982.62,33.27999999999997
1976-11-01,1011.72,991.65,20.07000000000005
1976-12-01,1006.28,1001.13,5.149999999999977
1977-01-01,1009.42,993.83,15.589999999999918
1977-02-01,1015.35,987.37,27.980000000000018
1977-03-01,1014.92,987.35,27.569999999999936
1977-04-01,1014.2,988.83,25.370000000000005
1977-05-01,1013.42,991.08,22.339999999999918
1977-06-01,1011.75,992.55,19.200000000000045
1977-07-01,1013.08,993.27,19.81000000000006
1977-08-01,1015.03,987.47,27.559999999999945
1977-09-01,1016.17,976.82,39.34999999999991
1977-10-01,1013.62,980.23,33.389999999999986
1977-11-01,1012.33,983.82,28.50999999999999
1977-12-01,1010.38,989.45,20.92999999999995
1978-01-01,1013.35,985.87,27.480000000000018
1978-02-01,1014.67,986.88,27.789999999999964
1978-03-01,1016.13,989.5,26.629999999999995
1978-04-01,1016.82,987.98,28.840000000000032
1978-05-01,1013.65,992.33,21.319999999999936
1978-06-01,1014.37,988.58,25.789999999999964
1978-07-01,1012.83,994.12,18.710000000000036
1978-08-01,1016.7,978.08,38.620000000000005
1978-09-01,1016.3,982.97,33.32999999999993
1978-10-01,1015.33,982.85,32.48000000000002
1978-11-01,1012.72,987.4,25.32000000000005
1978-12-01,1012.05,988.42,23.629999999999995
1979-01-01,1013.52,988.57,24.949999999999932
1979-02-01,1014.0,987.32,26.67999999999995
1979-03-01,1017.15,984.38,32.76999999999998
1979-04-01,1013.93,985.38,28.549999999999955
1979-05-01,1015.68,986.02,29.659999999999968
1979-06-01,1015.47,985.15,30.32000000000005
1979-07-01,1016.7,978.27,38.430000000000064
1979-08-01,1016.68,984.48,32.19999999999993
1979-09-01,1013.57,982.95,30.620000000000005
1979-10-01,1014.78,981.97,32.809999999999945
1979-11-01,1012.53,987.98,24.549999999999955
1979-12-01,1009.92,993.12,16.799999999999955
1980-01-01,1013.1,990.12,22.980000000000018
1980-02-01,1015.07,991.12,23.950000000000045
1980-03-01,1013.4,988.12,25.279999999999973
1980-04-01,1015.1,992.18,22.920000000000073
1980-05-01,1013.07,988.95,24.120000000000005
1980-06-01,1016.3,984.88,31.41999999999996
1980-07-01,1012.95,992.25,20.700000000000045
1980-08-01,1014.08,990.18,23.90000000000009
1980-09-01,1010.3,987.2,23.09999999999991
1980-10-01,1015.18,983.22,31.959999999999923
1980-11-01,1011.57,988.55,23.020000000000095
1980-12-01,1012.52,989.92,22.600000000000023
1981-01-01,1014.53,990.0,24.529999999999973
1981-02-01,1016.6,985.43,31.170000000000073
1981-03-01,1015.38,992.22,23.159999999999968
1981-04-01,1013.15,993.68,19.470000000000027
1981-05-01,1016.12,990.25,25.870000000000005
1981-06-01,1014.25,989.97,24.279999999999973
1981-07-01,1012.65,990.32,22.329999999999927
1981-08-01,1013.83,990.8,23.030000000000086
1981-09-01,1011.48,985.05,26.430000000000064
1981-10-01,1012.85,980.27,32.58000000000004
1981-11-01,1015.8,983.32,32.479999999999905
1981-12-01,1014.85,983.47,31.379999999999995
1982-01-01,1012.02,990.7,21.319999999999936
1982-02-01,1015.72,986.45,29.269999999999982
1982-03-01,1019.13,980.6,38.52999999999997
1982-04-01,1017.4,981.82,35.57999999999993
1982-05-01,1011.42,985.63,25.789999999999964
1982-06-01,1016.57,988.6,27.970000000000027
1982-07-01,1015.42,990.23,25.18999999999994
1982-08-01,1016.17,984.73,31.43999999999994
1982-09-01,1015.82,980.65,35.17000000000007
1982-10-01,1013.25,986.73,26.519999999999982
